genre,title,duration,url
로맨스,[Playlist] 우리는 몇 장짜리 책일까,1시간 1분,https://www.youtube.com/watch?v=0NpgaSLubUg
로맨스,망상 로맨스,3시간 40초,https://www.youtube.com/watch?v=KtAUxQxAgx0
로맨스,Playlist 마음에 여백을 두는 일,2시간 1분 31초,https://www.youtube.com/watch?v=HbAQP29d1Tc
로맨스,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 새벽감성 인디 피아노 플레이리스트 🎧 ⎮ 검정치마, 최유리, 카더가든, 데이먼스이어, 잔나비, 너드커넥션, 혁오, 델리스파이스",1시간 26분 40초,https://www.youtube.com/watch?v=Gl91jWxpzCk
로맨스,【𝐩𝐥𝐚𝐲𝐥𝐢𝐬𝐭】Reading music in a quiet country bookstore,43분 58초,https://www.youtube.com/watch?v=E12QM-a9TFk
로맨스,"하루종일 함께하는 너무 편안한 가요 발라드피아노 50곡 모음집 | 카페,공부,업무,태교,병원,식당,로비 피아노BGM[Kpop Piano]",10시간 2분 16초,https://www.youtube.com/watch?v=sd4vdb_PJTU
로맨스,[ Playlist ] ☕ 잔잔한 노래 최신곡 발라드 플레이리스트 카페음악 광고없는 광고없는 노래모음 집중 잘되는 음악 독서할때 듣는 음악,11시간 54분 59초,https://www.youtube.com/watch?v=JuObc2y922M
로맨스,[Playlist] 만약에 우리 OST I 영화 끝나고 듣는 발라드 플레이리스트,2시간 8분 57초,https://www.youtube.com/watch?v=5D62BJoaWv0
로맨스,"𝗣𝗟𝗔𝗬𝗟𝗜𝗦𝗧 가을밤에 든 생각 | 잔나비, 카더가든, 샘김, 김필 •••",2시간 32분 6초,https://www.youtube.com/watch?v=0eyvWdgx_gk
로맨스,(playlist) 이 노래 너무 좋은걸? 나만 들을수 없지⎜잔잔한 피아노 연주곡 플리🤎,3시간 9분 25초,https://www.youtube.com/watch?v=klh7I70h3vg
로맨스,"𝐏𝐋𝐀𝐘𝐋𝐈𝐒𝐓 새벽감성 인디 플레이리스트🌙🎧 | 잔나비, 카더가든, 최유리, 허회경, 10cm, 검정치마, 너드커넥션, 아이유",1시간 59분 25초,https://www.youtube.com/watch?v=PRfXz1iN3_o
로맨스,교보문고 플레이리스트 | The Scent of Page feat. hibi,1시간 23분 23초,https://www.youtube.com/watch?v=tQl-xYFLu34
로맨스,📚 [ Playlist ] 독서할때 듣는 음악 잔잔한 발라드 감성발라드 플레이리스트 발라드 피아노 모음 공부 집중 음악 발라드 명곡 모음 사무실 음악 💼,11시간 55분 1초,https://www.youtube.com/watch?v=3Zd85HmwEvk
"공포, 스릴러","[Playlist] 공포, 스릴러 장르 웹소설 쓸 때, 읽을 때 듣는 음악 (BGM)",3시간 1분 51초,https://www.youtube.com/watch?v=ZzdGbqAuxpM
"공포, 스릴러",[1Hour] 이곳에서 나가실 수 없습니다 ㅣ 호러소설 읽을 때 몰입도를 높여주는 BGM,1시간 1분 20초,https://www.youtube.com/watch?v=KRWJCC9IdEQ
"공포, 스릴러",𝙋𝙡𝙖𝙮𝙡𝙞𝙨𝙩 📚About a Certain Place in the Kinki Region | 😱🫣 Too Scary to Finish,1시간 12분 19초,https://www.youtube.com/watch?v=Y2bzr6NzGyM
"공포, 스릴러",[𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭] 🌚잠이 확 깨는 공포 플레이리스트🌚 | 오싹하고 무서운 음악 | 1 Hour scary horror Music👁,1시간 3분 8초,https://www.youtube.com/watch?v=2MFSF_9RO84
"공포, 스릴러",[Playlist] Do you like Cosmic Horror Song?,1시간 31분 33초,https://www.youtube.com/watch?v=fDxYULCo3T0
"공포, 스릴러",[𝐁𝐠𝐦] 🔪범죄현장 브금  | 어두운 브금 | 긴장감 주는 음악 | 미스테리 추리소설 배경음악,47분 32초,https://www.youtube.com/watch?v=EZGMI-sXpHI
